가게 이름,메뉴,주소,좋아요 개수,점수
마리스,"루프탑, 카페",충청남도 천안시 동남구 안서동 492-2,33,51
09학번식당,"라멘, 수제버거",충청남도 천안시 동남구 안서동 241-15,4,36
더올드밀,"레스토랑, 필라프",충청남도 천안시 동남구 안서동 144-8,7,31
오월의숲,"로스터리카페, 카페",충청남도 천안시 동남구 안서동 130-1,9,31
내가찜한닭,"치즈찜닭, 치즈",충청남도 천안시 동남구 안서동 385-4,0,29
로씨,"화덕피자, 파스타",충청남도 천안시 동남구 안서동 352-14,13,28
생태나라,"생태, 생태찌개",충청남도 천안시 동남구 안서동 534-118,3,25
부자전,오징어,충청남도 천안시 동남구 안서동 516-1,0,23
쪼다쪼림닭,"쪼림닭, 우동",충청남도 천안시 동남구 안서동 384,3,16
소나무향기,"산채정식, 산채비빔밥",충청남도 천안시 동남구 안서동 151,9,15
슬로우커피,"메론빙수, 카페",충청남도 천안시 동남구 안서동 271-3,11,14
주문진,"생선구이, 고등어",충청남도 천안시 동남구 안서동 273-8,5,14
카페고메,"cafe, 커피",충청남도 천안시 동남구 안서동 492-7,11,14
유박사해장국,"해장국, 뼈해장국",충청남도 천안시 동남구 안서동 275-1,7,14
선녀아리랑,"한정식, 간장게장",충청남도 천안시 동남구 안서동 143,3,14
불로만숯불바베큐,"숯불바베큐, 바베큐",충청남도 천안시 동남구 안서동 235-6,8,13
산들,"채식뷔페, 채식",충청남도 천안시 동남구 안서동 144-5,7,13
초당골,"순두부, 순두부정식",충청남도 천안시 동남구 안서동 145-1,2,13
오래오래,"생선구이전문, 생선구이",충청남도 천안시 동남구 안서동 335-1,2,13
동춘옥,"짬뽕, 짜장면",충청남도 천안시 동남구 안서동 503-1,0,13
산마루손칼국수,"손칼국수, 칼국수",충청남도 천안시 동남구 안서동 213-13,3,13
이지향왕냉면,냉면,충청남도 천안시 동남구 안서동 252-1,2,13
맛있네탕수육,"탕수육, 김치피자",충청남도 천안시 동남구 안서동 516-1,7,13
언덕위커피나무,"커피, 핸드드립커피",충청남도 천안시 동남구 안서동 129-4,5,13
흙사랑,"오리백숙, 백숙",충청남도 천안시 동남구 안서동 130-1,2,13
수원화로구이,"화로구이, 삼겹살",충청남도 천안시 동남구 안서동 234-9,4,13
압구정김밥,,충청남도 천안시 동남구 안서동,4,13
아비시니아,"카페, 와플",충청남도 천안시 동남구 안서동 150-8,3,12
큰통치킨,"치킨, 닭가슴살",충청남도 천안시 동남구 안서동 234-1,1,12
카페라이크,cafe,충청남도 천안시 동남구 안서동 468-1,3,12
호박마을,"호박, 단호박",충청남도 천안시 동남구 안서동 177-1,0,12
삼보석쇠갈비,,충청남도 천안시 동남구 안서동 151,0,12
예뫼골,돈까스,충청남도 천안시 동남구 안서동 142-1,1,12
안서리손두부,"순두부정식, 순두부",충청남도 천안시 동남구 안서동 278-2,1,12
제크치킨,치킨,충청남도 천안시 동남구 안서동 192-1,1,12
느티나무,,충청남도 천안시 동남구 안서동 192-1,0,12
대장군,버섯전골,충청남도 천안시 동남구 안서동 176-15,0,12
터줏대감,"밀면, 훈제",충청남도 천안시 동남구 안서동 176-2,0,12
우렁각시,"우렁쌈밥, 쌈밥",충청남도 천안시 동남구 안서동 157-1,1,12
산둘레,"연잎밥, 수수부꾸미",충청남도 천안시 동남구 안서동 183,2,12
안서반점,중국집,충청남도 천안시 동남구 안서동 229,1,12
구름산장,,충청남도 천안시 동남구 안서동 213-4,0,12
호서왕돈까스,,충청남도 천안시 동남구 안서동 234-13,1,12
노걸대뼈다귀해장국,,충청남도 천안시 동남구 안서동 226-25,0,12
명가당,호두과자,충청남도 천안시 동남구 안서동 467-68,0,12
천호지,"cafe, 커피",충청남도 천안시 동남구 안서동 492-1,4,12
흥부반점,"울면, 짬뽕",충청남도 천안시 동남구 안서동 305-7,2,12
쌈닭,치킨,충청남도 천안시 동남구 안서동 317-6,0,12
라운드피자,,충청남도 천안시 동남구 안서동 350-6,0,12
죽이야기,"죽집, 꽃게",충청남도 천안시 동남구 안서동 358-18,1,12
맛고을촌,"고기집, 누룽지",충청남도 천안시 동남구 안서동 447-4,0,12
장터국수,,충청남도 천안시 동남구 안서동 산16-5,0,12
맛골진곰탕,,충청남도 천안시 동남구 안서동 358-6,0,12
나누리분식,,충청남도 천안시 동남구 안서동 324-14,0,12
산동성,피자,충청남도 천안시 동남구 안서동 371-21,2,12
짜우,,충청남도 천안시 동남구 안서동 386-8,1,12
김밥시대,,충청남도 천안시 동남구 안서동 386-8,2,12
이레,카페,충청남도 천안시 동남구 안서동 384,2,12
북경루,짬뽕,충청남도 천안시 동남구 안서동  321-22,1,12
꼬불집,,충청남도 천안시 동남구 안서동 321-22,0,12
계경목장,"냉면, 볶음밥",충청남도 천안시 동남구 안서동 323-8,1,12
토마토도시락,도시락,충청남도 천안시 동남구 안서동 384-3,3,12
골짜기식당,,충청남도 천안시 동남구 안서동 산98-3,0,12
아산염치큰고개식당,삼겹살,충청남도 천안시 동남구 안서동 241-27,0,12
화덕갈매기,"갈매기살, 삼겹살",충청남도 천안시 동남구 안서동 379-38,3,12
웰빙천안 콩나물국밥,콩나물국밥,충청남도 천안시 동남구 안서동 447-16,0,12
빈스빈스커피,"와플, 카페",충청남도 천안시 동남구 안서동 261-5,2,12
깐치호,,충청남도 천안시 동남구 안서동 317-10,0,12
훌랄라 참숯바베큐치킨,치킨,충청남도 천안시 동남구 안서동 252-18,0,12
일미닭갈비,닭갈비,충청남도 천안시 동남구 안서동 226-23,1,12
커피동경,,충청남도 천안시 동남구 안서동 323-14,0,12
파파스테이블,"돈까스무한리필, 돈까스",충청남도 천안시 동남구 안서동 273,0,12
이슬목장,된장찌개,충청남도 천안시 동남구 안서동 226-19,0,12
슬로우커피,"커피, 카페",충청남도 천안시 동남구 안서동 468-1,1,12
킹콩쥬스 안서점,,충청남도 천안시 동남구 안서동 234-1,0,12
장수삼계탕,삼계탕,충청남도 천안시 동남구 안서동 506-22,0,12
아띠아즈,카페,충청남도 천안시 동남구 안서동 145-1,0,12
왔쏘,"소고기무한리필, 소고기",충청남도 천안시 동남구 안서동 226-27,0,12
리프에스프레소,에스프레소,충청남도 천안시 동남구 안서동 323-14,0,12
스타벅스,"카페, 케이크",충청남도 천안시 동남구 안서동 231-3,0,12
굿마나카페,,충청남도 천안시 동남구 안서동 324-14,0,12
깨돌이김밥,분식,충청남도 천안시 동남구 안서동 226-21,0,12
멕시카나치킨,"오징어짬뽕, 치킨",충청남도 천안시 동남구 안서동 386,0,12
명자밥상,집밥,충청남도 천안시 동남구 안서동 76-2,0,12
차차치킨,"치킨집, 치킨",충청남도 천안시 동남구 안서동 426-1,1,12
참맛있네탕수육,탕수육,충청남도 천안시 동남구 안서동 516-1,0,12
이모네식당,"하모, 삼겹살",충청남도 천안시 동남구 안서동 385-13,0,12
봉구스밥버거,밥버거,충청남도 천안시 동남구 안서동 379-38,0,12
돈까스스쿨,돈까스,충청남도 천안시 동남구 안서동 321-35,0,12
하이린,,충청남도 천안시 동남구 안서동 324-14,0,12
미스터짱닭,"치킨, 치즈",충청남도 천안시 동남구 안서동 516-6,0,12
경아두마리치킨,치킨,충청남도 천안시 동남구 안서동 223-3,0,12
본도시락,"더덕장어, 도시락",충청남도 천안시 동남구 안서동 314,0,12
3층커피마녀,카페,충청남도 천안시 동남구 안서동 234-13,0,12
카페페포니,카페,충청남도 천안시 동남구 안서동 335-1,0,12
SBCOFFEE&BAR,"닭발, 카페",충청남도 천안시 동남구 안서동 226-16,0,12
끼니와새참,,충청남도 천안시 동남구 안서동 382,0,12
아우네순대&보쌈,,충청남도 천안시 동남구 안서동 274,0,12
국시각시,국수,충청남도 천안시 동남구 안서동 252-18,0,12
붉은수탉,카페,충청남도 천안시 동남구 안서동 226-17,0,12
